protocol,input,cachesize,associativity,blocksize,exec0,exec1,exec2,exec3,idle0,idle1,idle2,idle3,bustraffic,invalidationupdate,exec,load0,load1,load2,load3,store0,store1,store2,store3,miss0,miss1,miss2,miss3,private0,private1,private2,private3,shared0,shared1,shared2,shared3
MESI,blackscholes_four-blackscholes,256,2,16,622854380,621869386,624556984,623785461,612424066,611486110,614126646,613390557,71189216,1598583,624556984,1489888,1485857,1492629,1493736,1007461,1004611,1016428,1009391,0.6885072931336389,0.6886673508754177,0.6896933788271848,0.6885871152362625,2216630,2222340,2242908,2233600,280719,268128,266149,269527
Dragon,blackscholes_four-blackscholes,4096,8,1,32496790,30911399,25059813,32983253,22066476,20528123,14629475,22588349,130305,2513583,32983253,1489888,1485857,1492629,1493736,1007461,1004611,1016428,1009391,0.4132674287814799,0.4130328115037013,0.41618863182462573,0.4130737273817909,348226,431108,2038227,214272,2149123,2059360,470830,2288855
MOESI,fluidanimate_four-fluidanimate,32,8,4,962813590,880780864,968259424,875571396,951475808,869490065,956921753,864269881,28854268,1914445,968259424,1832392,1821846,1838008,1832174,744111,585998,766181,579291,0.8284973857977266,0.7646512813953064,0.8311021204682149,0.7607840047440042,2399035,2230813,2451270,2240129,177468,177031,152919,171336
Dragon,bodytrack_four-bodytrack,64,1,64,798406919,801115190,53647593,804020040,780677665,783994645,36090716,786879927,342042304,8,804020040,2380720,2388005,74523,2416052,889412,899247,43175,908867,0.648490336169916,0.6511904167979821,0.7231643698278646,0.6494416856470789,3268132,3271485,117091,3307086,2000,15767,607,17833
Dragon,blackscholes_four-blackscholes,32768,16,2,23291793,22534213,19883162,23644435,12861479,12150937,9452824,13249531,100638,2840843,23644435,1489888,1485857,1492629,1493736,1007461,1004611,1016428,1009391,0.40680377472271595,0.4065721784018104,0.40873204554539816,0.40655388240388923,128943,221676,2033010,93743,2368406,2268792,476047,2409384
MOESI,blackscholes_four-blackscholes,4096,32,1,21241782,20613245,24818005,20849273,10811468,10229969,14387667,10454369,128594,29270,24818005,1489888,1485857,1492629,1493736,1007461,1004611,1016428,1009391,0.4131016529928336,0.4128842450495248,0.41604156461969577,0.4129059372536831,1961811,1963680,2044858,1963413,535538,526788,464199,539714
Dragon,fluidanimate_four-fluidanimate,32768,4096,1,239205310,240431711,235582923,234401060,227867528,229140912,224245252,223099545,1344211,111270,240431711,1832392,1821846,1838008,1832174,744111,585998,766181,579291,0.339125939306106,0.294825993710556,0.3441025209767801,0.29191342192401715,2101633,1785989,2188728,1966722,474870,621855,415461,444743
MOESI,fluidanimate_four-fluidanimate,32768,128,128,28497754,27416520,28695644,27674139,17159972,16125721,17357973,16372624,12715392,52111,28695644,1832392,1821846,1838008,1832174,744111,585998,766181,579291,0.2939255261880153,0.24831093708728638,0.29964338225835374,0.24523266976713326,2089670,1942197,2118513,1889229,486833,465647,485676,522236
Dragon,bodytrack_four-bodytrack,16384,8,16,69166924,69563106,19789876,68595819,51437670,52442561,2232999,51455706,8210848,8378,69563106,2380720,2388005,74523,2416052,889412,899247,43175,908867,0.3156848102767717,0.3175625111795506,0.3856395180886676,0.31651838736522603,2304864,2511523,90059,2305576,965268,775729,27639,1019343
MESI,blackscholes_four-blackscholes,4096,4,1,22179789,21495566,25577544,21779199,11749475,11112290,15147206,11384295,137353,33153,25577544,1489888,1485857,1492629,1493736,1007461,1004611,1016428,1009391,0.4135941752634494,0.4133737112863928,0.4165007012594772,0.4134125036404465,2020289,2016682,2044681,2025204,477060,473786,464376,477923
